,Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Day,DayOfWeek,Lag_1,Lag_2,Lag_3,Rolling_Mean_3,Rolling_Std_3,IsSuperBowl,IsLaborDay,IsThanksgiving,IsChristmas
88,1,2011-10-14,1493525.93,0,71.74,3.274,217.3552733,7.866,2011,10,41,14,4,1630989.95,1394561.83,1380020.27,1468524.0166666666,140887.36232257233,0,0,0,0
89,1,2011-10-21,1502562.78,0,63.71,3.353,217.5159762,7.866,2011,10,42,21,4,1493525.93,1630989.95,1394561.83,1506359.2366666666,118735.35405128541,0,0,0,0
90,1,2011-10-28,1445249.09,0,66.57,3.372,217.6766791,7.866,2011,10,43,28,4,1502562.78,1493525.93,1630989.95,1542359.5533333335,76889.05367117314,0,0,0,0
91,1,2011-11-04,1697229.58,0,54.98,3.332,217.837382,7.866,2011,11,44,4,4,1445249.09,1502562.78,1493525.93,1480445.9333333333,30814.436550974933,0,0,0,0
92,1,2011-11-11,1594938.89,0,59.11,3.297,217.9980849,7.866,2011,11,45,11,4,1697229.58,1445249.09,1502562.78,1548347.1500000001,132082.16472098953,0,0,0,0
93,1,2011-11-18,1539483.7,0,62.25,3.308,218.2205088,7.866,2011,11,46,18,4,1594938.89,1697229.58,1445249.09,1579139.1866666668,126731.07276522949,0,0,0,0
94,1,2011-11-25,2033320.66,1,60.14,3.236,218.4676211,7.866,2011,11,47,25,4,1539483.7,1594938.89,1697229.58,1610550.7233333334,80023.35702321076,0,0,0,0
95,1,2011-12-02,1584083.95,0,48.91,3.172,218.7147333,7.866,2011,12,48,2,4,2033320.66,1539483.7,1594938.89,1722581.0833333333,270533.0532573016,0,0,0,0
96,1,2011-12-09,1799682.38,0,43.93,3.158,218.9618456,7.866,2011,12,49,9,4,1584083.95,2033320.66,1539483.7,1718962.7699999998,273153.7256362327,0,0,0,0
97,1,2011-12-16,1881176.67,0,51.63,3.159,219.1794533,7.866,2011,12,50,16,4,1799682.38,1584083.95,2033320.66,1805695.663333333,224678.71524744085,0,0,0,0
98,1,2011-12-23,2270188.99,0,47.96,3.112,219.3577216,7.866,2011,12,51,23,4,1881176.67,1799682.38,1584083.95,1754981.0,153507.9186872045,0,0,0,0
99,1,2011-12-30,1497462.72,1,44.55,3.129,219.5359898,7.866,2011,12,52,30,4,2270188.99,1881176.67,1799682.38,1983682.68,251445.2804846656,0,0,0,0
100,1,2012-01-06,1550369.92,0,49.01,3.157,219.7142581,7.348,2012,1,1,6,4,1497462.72,2270188.99,1881176.67,1882942.7933333332,386366.1624427649,0,0,0,0
101,1,2012-01-13,1459601.17,0,48.53,3.261,219.8925263,7.348,2012,1,2,13,4,1550369.92,1497462.72,2270188.99,1772673.8766666667,431672.0502294182,0,0,0,0
102,1,2012-01-20,1394393.84,0,54.11,3.268,219.9856893,7.348,2012,1,3,20,4,1459601.17,1550369.92,1497462.72,1502477.9366666665,45591.72943419819,0,0,0,0
103,1,2012-01-27,1319325.59,0,54.26,3.29,220.0788523,7.348,2012,1,4,27,4,1394393.84,1459601.17,1550369.92,1468121.6433333333,78336.34681557481,0,0,0,0
104,1,2012-02-03,1636339.65,0,56.55,3.36,220.1720153,7.348,2012,2,5,3,4,1319325.59,1394393.84,1459601.17,1391106.866666667,70195.53213243152,0,0,0,0
105,1,2012-02-10,1802477.43,1,48.02,3.409,220.2651783,7.348,2012,2,6,10,4,1636339.65,1319325.59,1394393.84,1450019.6933333334,165665.79377987914,1,0,0,0
106,1,2012-02-17,1819870.0,0,45.32,3.51,220.4257586,7.348,2012,2,7,17,4,1802477.43,1636339.65,1319325.59,1586047.5566666666,245470.764272923,0,0,0,0
107,1,2012-02-24,1539387.83,0,57.25,3.555,220.636902,7.348,2012,2,8,24,4,1819870.0,1802477.43,1636339.65,1752895.6933333334,101314.40569308095,0,0,0,0
108,1,2012-03-02,1688420.76,0,60.96,3.63,220.8480454,7.348,2012,3,9,2,4,1539387.83,1819870.0,1802477.43,1720578.42,157156.4437152099,0,0,0,0
109,1,2012-03-09,1675431.16,0,58.76,3.669,221.0591887,7.348,2012,3,10,9,4,1688420.76,1539387.83,1819870.0,1682559.53,140332.91643378497,0,0,0,0
110,1,2012-03-16,1677472.78,0,64.74,3.734,221.2118132,7.348,2012,3,11,16,4,1675431.16,1688420.76,1539387.83,1634413.25,82550.31957341074,0,0,0,0
111,1,2012-03-23,1511068.07,0,65.93,3.787,221.2864126,7.348,2012,3,12,23,4,1677472.78,1675431.16,1688420.76,1680441.5666666667,6985.177001616986,0,0,0,0
112,1,2012-03-30,1649604.63,0,67.61,3.845,221.3610119,7.348,2012,3,13,30,4,1511068.07,1677472.78,1675431.16,1621324.0033333332,95489.89569299672,0,0,0,0
113,1,2012-04-06,1899676.88,0,70.43,3.891,221.4356112,7.143,2012,4,14,6,4,1649604.63,1511068.07,1677472.78,1612715.1600000001,89124.94951026165,0,0,0,0
114,1,2012-04-13,1621031.7,0,69.07,3.891,221.5102105,7.143,2012,4,15,13,4,1899676.88,1649604.63,1511068.07,1686783.1933333334,196954.01996672162,0,0,0,0
115,1,2012-04-20,1521577.87,0,66.76,3.877,221.5640737,7.143,2012,4,16,20,4,1621031.7,1899676.88,1649604.63,1723437.7366666666,153294.74816296317,0,0,0,0
116,1,2012-04-27,1468928.37,0,67.23,3.814,221.6179368,7.143,2012,4,17,27,4,1521577.87,1621031.7,1899676.88,1680762.1500000001,195998.7508471589,0,0,0,0
117,1,2012-05-04,1684519.99,0,75.55,3.749,221.6718,7.143,2012,5,18,4,4,1468928.37,1521577.87,1621031.7,1537179.3133333335,77242.5370170794,0,0,0,0
118,1,2012-05-11,1611096.05,0,73.77,3.688,221.7256632,7.143,2012,5,19,11,4,1684519.99,1468928.37,1521577.87,1558342.076666667,112399.47429782905,0,0,0,0
119,1,2012-05-18,1595901.87,0,70.33,3.63,221.742674,7.143,2012,5,20,18,4,1611096.05,1684519.99,1468928.37,1588181.47,109607.23122124984,0,0,0,0
120,1,2012-05-25,1555444.55,0,77.22,3.561,221.744944,7.143,2012,5,21,25,4,1595901.87,1611096.05,1684519.99,1630505.97,47390.416160743094,0,0,0,0
121,1,2012-06-01,1624477.58,0,77.95,3.501,221.7472139,7.143,2012,6,22,1,4,1555444.55,1595901.87,1611096.05,1587480.8233333335,28765.567668382064,0,0,0,0
122,1,2012-06-08,1697230.96,0,78.3,3.452,221.7494839,7.143,2012,6,23,8,4,1624477.58,1555444.55,1595901.87,1591941.3333333333,34686.513168108395,0,0,0,0
123,1,2012-06-15,1630607.0,0,79.35,3.393,221.7626421,7.143,2012,6,24,15,4,1697230.96,1624477.58,1555444.55,1625717.6966666665,70901.33942445846,0,0,0,0
124,1,2012-06-22,1527845.81,0,78.39,3.346,221.8030211,7.143,2012,6,25,22,4,1630607.0,1697230.96,1624477.58,1650771.8466666667,40351.32409442979,0,0,0,0
125,1,2012-06-29,1540421.49,0,84.88,3.286,221.8434,7.143,2012,6,26,29,4,1527845.81,1630607.0,1697230.96,1618561.2566666666,85332.62687548102,0,0,0,0
126,1,2012-07-06,1769854.16,0,81.57,3.227,221.8837789,6.908,2012,7,27,6,4,1540421.49,1527845.81,1630607.0,1566291.4333333333,56052.70750469213,0,0,0,0
127,1,2012-07-13,1527014.04,0,77.12,3.256,221.9241579,6.908,2012,7,28,13,4,1769854.16,1540421.49,1527845.81,1612707.1533333333,136238.4791829594,0,0,0,0
128,1,2012-07-20,1497954.76,0,80.42,3.311,221.9327267,6.908,2012,7,29,20,4,1527014.04,1769854.16,1540421.49,1612429.8966666665,136498.12798499348,0,0,0,0
129,1,2012-07-27,1439123.71,0,82.66,3.407,221.9412954,6.908,2012,7,30,27,4,1497954.76,1527014.04,1769854.16,1598274.32,149301.1773541952,0,0,0,0
130,1,2012-08-03,1631135.79,0,86.11,3.417,221.9498642,6.908,2012,8,31,3,4,1439123.71,1497954.76,1527014.04,1488030.8366666667,44777.681021039796,0,0,0,0
131,1,2012-08-10,1592409.97,0,85.05,3.494,221.9584329,6.908,2012,8,32,10,4,1631135.79,1439123.71,1497954.76,1522738.0866666667,98375.91004398333,0,0,0,0
132,1,2012-08-17,1597868.05,0,84.85,3.571,222.0384109,6.908,2012,8,33,17,4,1592409.97,1631135.79,1439123.71,1554223.156666667,101542.27814510519,0,0,0,0
133,1,2012-08-24,1494122.38,0,77.66,3.62,222.1719457,6.908,2012,8,34,24,4,1597868.05,1592409.97,1631135.79,1607137.9366666668,20961.163678997927,0,0,0,0
134,1,2012-08-31,1582083.4,0,80.49,3.638,222.3054805,6.908,2012,8,35,31,4,1494122.38,1597868.05,1592409.97,1561466.8,58385.79311933734,0,0,0,0
135,1,2012-09-07,1661767.33,1,83.96,3.73,222.4390153,6.908,2012,9,36,7,4,1582083.4,1494122.38,1597868.05,1558024.61,55900.894833047765,0,0,0,0
136,1,2012-09-14,1517428.87,0,74.97,3.717,222.5820193,6.908,2012,9,37,14,4,1661767.33,1582083.4,1494122.38,1579324.37,83856.52330040523,0,0,0,0
137,1,2012-09-21,1506126.06,0,69.87,3.721,222.7818386,6.908,2012,9,38,21,4,1517428.87,1661767.33,1582083.4,1587093.2000000002,72299.52510786611,0,0,0,0
138,1,2012-09-28,1437059.26,0,76.08,3.666,222.9816579,6.908,2012,9,39,28,4,1506126.06,1517428.87,1661767.33,1561774.0866666667,86780.90177402848,0,0,0,0
139,1,2012-10-05,1670785.97,0,68.55,3.617,223.1814772,6.573,2012,10,40,5,4,1437059.26,1506126.06,1517428.87,1486871.3966666665,43507.184440600504,0,0,0,0
140,1,2012-10-12,1573072.81,0,62.99,3.601,223.3812965,6.573,2012,10,41,12,4,1670785.97,1437059.26,1506126.06,1537990.43,120077.25554191733,0,0,0,0
141,1,2012-10-19,1508068.77,0,67.97,3.594,223.4257233,6.573,2012,10,42,19,4,1573072.81,1670785.97,1437059.26,1560306.0133333334,117385.2080319415,0,0,0,0
142,1,2012-10-26,1493659.74,0,69.16,3.506,223.4442513,6.573,2012,10,43,26,4,1508068.77,1573072.81,1670785.97,1583975.8499999999,81904.69464500356,0,0,0,0
143,2,2010-02-05,2136989.46,0,40.19,2.572,210.7526053,8.324,2010,2,5,5,4,1493659.74,1508068.77,1573072.81,1524933.7733333334,42307.56640107639,0,0,0,0
144,2,2010-02-12,2137809.5,1,38.49,2.548,210.8979935,8.324,2010,2,6,12,4,2136989.46,1493659.74,1508068.77,1712905.99,367337.7154361033,1,0,0,0
145,2,2010-02-19,2124451.54,0,39.69,2.514,210.9451605,8.324,2010,2,7,19,4,2137809.5,2136989.46,1493659.74,1922819.5666666667,371663.53834459203,0,0,0,0
146,2,2010-02-26,1865097.27,0,46.1,2.561,210.9759573,8.324,2010,2,8,26,4,2124451.54,2137809.5,2136989.46,2133083.5,7486.732697252132,0,0,0,0
147,2,2010-03-05,1991013.13,0,47.17,2.625,211.0067542,8.324,2010,3,9,5,4,1865097.27,2124451.54,2137809.5,2042452.7700000003,153739.51609468093,0,0,0,0
148,2,2010-03-12,1990483.78,0,57.56,2.667,211.037551,8.324,2010,3,10,12,4,1991013.13,1865097.27,2124451.54,1993520.6466666665,129695.31630588026,0,0,0,0
149,2,2010-03-19,1946070.88,0,54.52,2.72,210.8733316,8.324,2010,3,11,19,4,1990483.78,1991013.13,1865097.27,1948864.7266666666,72545.22830728469,0,0,0,0
150,2,2010-03-26,1750197.81,0,51.26,2.732,210.6766095,8.324,2010,3,12,26,4,1946070.88,1990483.78,1991013.13,1975855.93,25795.967814397754,0,0,0,0
151,2,2010-04-02,2066187.72,0,63.27,2.719,210.4798874,8.2,2010,4,13,2,4,1750197.81,1946070.88,1990483.78,1895584.1566666665,127851.54973410298,0,0,0,0
